"CD_MUN","class_values","year","area_ha"
"2110237",24,2011,10.0873714330753
"2110237",25,2011,13.8344582996588
"2110237",33,2011,0.535579469879344
"2110237",41,2011,50.0715819527607
"2110237",3,2013,34520.6473532668
"2110237",4,2013,55821.0575578204
"2110237",9,2013,10.9784550173683
"2110237",12,2013,1537.39501870791
"2110237",15,2013,45.6998025192391
"2110237",21,2013,1563.68651296349
"2110237",24,2013,10.176640162719
"2110237",25,2013,1.24969208694678
"2110237",41,2013,2.05285464814845
"2110237",3,2014,34477.8018267237
"2110237",4,2014,56075.0800832816
"2110237",9,2014,10.9784550642941
"2110237",12,2014,1244.36320536651
"2110237",15,2014,535.276900271519
"2110237",21,2014,1152.3044952071
"2110237",24,2014,10.176640162719
"2110237",25,2014,1.42828915764727
"2110237",39,2014,5.53399195906967
"2110237",3,2015,34255.2945787693
"2110237",4,2015,56110.2464702002
"2110237",9,2015,10.9784550642941
"2110237",12,2015,1155.81941312522
"2110237",15,2015,667.378708130225
"2110237",21,2015,1295.81954135818
"2110237",24,2015,10.176640162719
"2110237",25,2015,1.60683183246702
"2110237",39,2015,5.62324855152331
"2110237",3,2016,34216.8182540538
"2110237",4,2016,56026.9781015689
"2110237",9,2016,10.8892007863596
"2110237",12,2016,892.602061401134
"2110237",15,2016,1145.7026532146
"2110237",21,2016,1184.4286629937
"2110237",24,2016,10.5337154373772
"2110237",25,2016,1.16048860705588
"2110237",39,2016,23.8307491322521
"2110237",3,2018,34451.9287814544
"2110237",4,2018,55860.047293491
"2110237",9,2018,11.156964394043
"2110237",12,2018,751.40037713354
"2110237",15,2018,1328.22580500745
"2110237",21,2018,1027.8913548493
"2110237",24,2018,10.7122530969579
"2110237",25,2018,1.24975876290761
"2110237",39,2018,66.3149523217509
"2110237",41,2018,4.01634667830728
"2110237",3,2017,34325.3549117869
"2110237",4,2017,55882.7337322354
"2110237",9,2017,11.2462180623995
"2110237",12,2017,762.289251689054
"2110237",15,2017,1412.48779079425
"2110237",21,2017,1035.82440655683
"2110237",24,2017,10.7122530969579
"2110237",25,2017,1.78536871262454
"2110237",39,2017,70.331452525318
"2110237",41,2017,0.178501731700078
"2110237",3,2020,34966.3080581772
